Course,Section,GPA Grades,Ave.GPA ,SD2,Median GPA,% A,% B,% C,% D,% F,% P,% I,AU%,%W/AW,#Letter Grades
ANT 306,1,22,3.24,0.87,3.33,40,40,4,0,4,0,0,0,12,25
ANT 306,2,22,3.59,0.50,3.67,64,20,4,0,0,0,0,0,12,25
ANT 314,1,24,3.06,0.67,3.33,20,56,20,0,0,0,0,0,4,25
ANT 333,2,24,2.79,1.01,3.00,24,44,20,4,4,0,4,0,0,25
ANT 386 /SOC 386,1,25,2.33,1.23,2.33,20,28,32,8,12,0,0,0,0,25
ANT 400,1,0,,,,0,0,0,0,0,0,0,0,100,1
ANT 400,2,0,,,,0,0,0,0,0,100,0,0,0,4
ANT 400,3,0,,,,0,0,0,0,0,100,0,0,0,3
ANT 401,1,0,,,,0,0,0,0,0,100,0,0,0,2
ANT 401,2,0,,,,0,0,0,0,0,100,0,0,0,1
ANT 421,1,19,3.11,0.93,3.33,35,45,10,0,5,0,0,0,5,20
ANT 481,1,7,3.19,0.50,3.33,25,50,13,0,0,0,0,0,13,8
ANT 498,1,3,3.67,0.00,3.67,100,0,0,0,0,0,0,0,0,3
SOC 101,1,244,2.60,0.71,2.67,7,56,28,4,2,0,0,0,2,251
SOC 201,1,23,2.41,1.19,2.67,12,48,16,4,12,0,0,0,8,25
SOC 201,2,24,3.32,0.90,3.67,50,35,4,0,4,0,0,0,8,26
SOC 203,1,24,2.92,0.87,3.00,24,44,24,0,4,0,0,0,4,25
SOC 203,2,23,2.58,1.12,2.67,20,36,24,4,8,0,0,0,8,25
SOC 210,1,24,3.28,0.94,3.67,56,16,16,8,0,0,0,0,4,25
SOC 215,1,24,3.17,0.91,3.33,36,44,12,0,4,0,0,0,4,25
SOC 217,1,23,3.07,1.13,3.33,44,32,8,0,8,0,0,0,8,25
SOC 301,1,24,2.94,0.89,3.33,24,56,8,4,4,0,0,0,4,25
SOC 301,2,24,2.92,0.86,3.00,20,56,12,4,4,0,0,0,4,25
SOC 310,1,25,3.01,1.12,3.67,52,12,28,4,4,0,0,0,0,25
SOC 401,1,0,,,,0,0,0,0,0,100,0,0,0,5
SOC 410,1,24,3.29,0.79,3.33,36,56,0,0,4,0,0,0,4,25
SOC 411,1,21,2.30,1.18,2.33,18,23,36,9,9,0,0,0,5,22
SOC 415,1,24,3.17,0.66,3.33,32,52,12,0,0,0,0,0,4,25
SOC 420,1,24,2.90,0.99,3.17,32,40,16,4,4,0,0,0,4,25
SOC 498,1,24,3.45,0.62,3.67,67,25,8,0,0,0,0,0,0,24
ANT 204 /PLS 204,1,23,3.25,0.91,3.33,41,33,7,0,4,0,0,0,15,27
HST 271 /TUR 271,1,29,3.13,0.67,3.33,35,41,24,0,0,0,0,0,0,29
HST 274 /WLL 274,1,26,3.15,0.64,3.33,29,50,14,0,0,0,0,0,7,28
SSH 300,1,2,0.00,0.00,0.00,0,0,0,0,20,80,0,0,0,10
SSH 301,1,0,,,,0,0,0,0,0,100,0,0,0,13
WCS 150,1,20,3.42,0.32,3.50,50,50,0,0,0,0,0,0,0,20
WCS 150,2,20,2.40,0.65,2.67,0,65,30,0,5,0,0,0,0,20
WCS 150,3,19,3.19,0.52,3.33,35,55,5,0,0,0,0,0,5,20
WCS 150,4,20,3.40,0.32,3.50,50,50,0,0,0,0,0,0,0,20
WCS 150,5,20,2.68,0.77,3.00,5,70,20,0,5,0,0,0,0,20
WCS 150,6,19,3.12,0.42,3.33,20,70,5,0,0,0,0,0,5,20
WCS 150,7,20,2.98,0.54,3.00,5,80,10,5,0,0,0,0,0,20
WCS 150,9,19,3.17,0.44,3.33,20,65,10,0,0,0,0,0,5,20
WCS 150,10,20,2.83,0.37,3.00,0,90,10,0,0,0,0,0,0,20
WCS 150,11,19,3.00,0.46,3.00,15,70,10,0,0,0,0,0,5,20
WCS 150,12,19,2.98,0.88,3.33,25,50,15,0,5,0,0,0,5,20
WCS 150,13,20,2.60,0.97,3.00,5,70,15,0,10,0,0,0,0,20
WCS 150,14,19,3.05,1.19,3.67,50,30,5,0,10,0,0,0,5,20
WCS 150,15,20,2.97,0.34,3.00,10,90,0,0,0,0,0,0,0,20
WCS 150,16,19,3.26,0.42,3.33,30,60,5,0,0,0,0,0,5,20
WCS 150,17,20,2.83,0.51,3.00,0,70,30,0,0,0,0,0,0,20
WCS 150,18,20,2.87,0.87,3.17,15,65,15,0,5,0,0,0,0,20
WCS 150,20,20,3.00,0.39,3.00,10,85,5,0,0,0,0,0,0,20
WCS 150,22,20,2.95,0.51,3.00,15,70,15,0,0,0,0,0,0,20
WCS 150,23,20,3.30,0.87,3.50,50,40,5,0,5,0,0,0,0,20
WCS 150,24,21,3.33,0.28,3.33,33,67,0,0,0,0,0,0,0,21
WCS 150,25,19,3.17,0.80,3.33,25,65,0,0,5,0,0,0,5,20
WCS 150,26,19,3.28,0.34,3.33,20,70,5,0,0,0,0,0,5,20
WCS 150,27,20,3.35,0.44,3.33,35,60,5,0,0,0,0,0,0,20
WCS 150,28,20,3.20,0.64,3.33,40,45,10,5,0,0,0,0,0,20
WCS 150,29,20,3.17,0.38,3.33,20,75,5,0,0,0,0,0,0,20
WCS 150,30,21,3.41,0.33,3.33,43,57,0,0,0,0,0,0,0,21
WCS 150,31,20,3.12,0.55,3.00,30,60,10,0,0,0,0,0,0,20
WCS 150,33,20,3.23,0.82,3.33,45,50,0,0,5,0,0,0,0,20
WCS 150,34,19,3.02,0.86,3.00,20,65,5,0,5,0,0,0,5,20
WCS 200,1,23,3.30,0.32,3.33,25,71,0,0,0,0,0,0,4,24
WCS 200,2,23,3.13,0.46,3.33,17,71,8,0,0,0,0,0,4,24
WCS 200,3,21,3.36,0.41,3.33,33,46,8,0,0,0,0,0,13,24
WCS 200,4,25,3.40,0.39,3.33,36,60,4,0,0,0,0,0,0,25
WCS 200,5,23,3.22,0.61,3.33,29,58,4,4,0,0,0,0,4,24
WCS 200,7,24,3.38,0.28,3.33,38,63,0,0,0,0,0,0,0,24
WCS 210,1,24,2.98,0.81,3.33,8,79,8,0,4,0,0,0,0,24
WCS 210,2,24,3.03,0.50,3.17,21,58,21,0,0,0,0,0,0,24
WCS 210,3,24,3.07,0.74,3.33,13,75,8,0,4,0,0,0,0,24
WCS 210,5,22,3.09,0.54,3.17,25,54,13,0,0,0,0,0,8,24
WCS 210,6,24,3.08,0.37,3.33,4,92,4,0,0,0,0,0,0,24
WCS 210,7,24,2.81,1.00,3.17,13,71,4,4,8,0,0,0,0,24
WCS 210,8,23,2.99,0.55,3.00,21,63,13,0,0,0,0,0,4,24
WCS 210,9,24,3.07,0.53,3.00,21,67,13,0,0,0,0,0,0,24
WCS 210,10,22,2.89,0.67,3.00,17,54,21,0,0,0,0,0,8,24
WCS 210,11,25,3.17,0.48,3.33,24,72,0,4,0,0,0,0,0,25
WCS 210,12,24,3.28,0.29,3.33,17,79,4,0,0,0,0,0,0,24
WCS 230,1,24,2.96,0.66,3.00,20,60,12,4,0,0,0,0,4,25
WCS 230,2,20,3.20,0.61,3.00,33,42,8,0,0,0,0,0,17,24
WCS 230,3,24,2.81,0.89,3.00,16,60,8,8,4,0,0,0,4,25
WCS 230,4,24,3.24,0.98,3.50,50,38,4,4,4,0,0,0,0,24
WCS 230,5,24,3.14,0.70,3.33,29,58,4,8,0,0,0,0,0,24
WCS 240,1,23,2.58,0.77,2.67,4,58,29,0,4,0,0,0,4,24
WCS 240,2,22,2.89,0.76,3.00,8,67,13,0,4,0,0,0,8,24
WCS 240,3,22,3.35,0.48,3.33,38,46,8,0,0,0,0,0,8,24
WCS 240,4,24,3.22,0.61,3.33,33,58,4,4,0,0,0,0,0,24
WCS 250,1,24,3.19,0.76,3.33,42,38,21,0,0,0,0,0,0,24
WCS 390,1,12,3.42,1.11,3.67,83,8,0,0,8,0,0,0,0,12
WCS 391,1,11,4.00,0.00,4.00,100,0,0,0,0,0,0,0,0,11
WCS 392,1,6,4.00,0.00,4.00,100,0,0,0,0,0,0,0,0,6
WCS 393,1,0,,,,0,0,0,0,0,100,0,0,0,2
WLL 102 /PHIL 102,1,29,2.86,1.11,3.33,37,40,7,7,7,0,0,0,3,30
WLL 235 /WCS 260,1,20,3.88,0.33,4.00,90,10,0,0,0,0,0,0,0,20
WLL 235 /WCS 260,2,20,3.20,0.42,3.33,25,70,5,0,0,0,0,0,0,20
WLL 385 /ANT 385,1,16,3.40,0.63,3.50,40,35,5,0,0,0,0,0,20,20
WLL 462 /WCS 462,1,16,3.67,0.47,3.83,81,19,0,0,0,0,0,0,0,16
WLL 465 /WCS 465,1,15,2.73,1.08,3.33,13,60,13,7,7,0,0,0,0,15
WLL 465 /WCS 465,2,15,3.05,0.75,3.33,40,33,27,0,0,0,0,0,0,15
WLL 469 /WCS 469,1,0,,,,0,0,0,0,0,100,0,0,0,1
