Course Abbr,S/T,Course Title,Cr(US),Cr(ECTS),Start Date,End Date,Days,Time,Enr,Cap,Faculty,Room
ANT 333,2L,Anthropology of Space,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,25,25,Reed Coil,8.321 -cap:32
ANT 386/SOC 386,1L,Social Challenges ofClimate Change,3.0,6,14-AUG-23,24-NOV-23,M W F,12:00 PM-12:50 PM,25,25,MatveyLomonosov,8.154 -cap:56
ANT 400,1Int,Research Assistance inAnthropology,1.0,2,14-AUG-23,24-NOV-23,,Online/Distant,0,5,PhilippSchroeder,
ANT 400,2Int,Research Assistance inAnthropology,1.0,2,14-AUG-23,24-NOV-23,,Online/Distant,4,5,Reed Coil,
ANT 400,3Int,Research Assistance inAnthropology,1.0,2,14-AUG-23,24-NOV-23,,Online/Distant,3,4,SnezhanaAtanova,
ANT 401,1Int,Research Assistance inAnthropology,1.0,2,14-AUG-23,24-NOV-23,,Online/Distant,2,2,Paula Dupuy,
ANT 401,2Int,Research Assistance inAnthropology,1.0,2,14-AUG-23,24-NOV-23,,Online/Distant,1,2,PhilippSchroeder,
ANT 421,1L,Sport and Construction ofIdentity,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,19,20,Ulan Bigozhin,8.302 -cap:57
ANT 481,1S,Anthropology ofEntrepreneurship,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,7,25,PhilippSchroeder,8.302 -cap:57
ANT 498,1R,Capstone Seminar I,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,3,10,DanaBurkhanova,8.308 -cap:24
BIOL 101,1L,Biology for non-Sciencemajors,3.0,6,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,225,240,AnaraZhumadilova,Online -cap:0
BIOL 101,2L,Biology for non-Sciencemajors,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,81,240,Burkitkan Akbay,OrangeHall -cap:450
BIOL 101,3L,Biology for non-Sciencemajors,3.0,6,14-AUG-23,24-NOV-23,M W F,04:00 PM-04:50 PM,90,92,ChethanPurushothama,BlueHall -cap:239
BIOL 105,1L,General Biology,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,113,96,AigerimSoltabayeva,OrangeHall -cap:450
BIOL 110,1L,Modern Biology I,3.0,6,14-AUG-23,24-NOV-23,T R,09:00 AM-10:15 AM,160,150,OlenaFilchakova,BlueHall -cap:239
BIOL 110L,1Lb,Modern Biology ILaboratory,1.0,2,14-AUG-23,24-NOV-23,M,12:00 PM-02:50 PM,24,24,AigerimSoltabayeva,9.228 -cap:40
BIOL 110L,3Lb,Modern Biology ILaboratory,1.0,2,14-AUG-23,24-NOV-23,M,12:00 PM-02:50 PM,20,20,Radmir Sarsenov,7.407 -cap:20
BIOL 110L,4Lb,Modern Biology ILaboratory,1.0,2,14-AUG-23,24-NOV-23,M,03:00 PM-05:50 PM,21,20,Nurtilek Galimov,7.407 -cap:20
BIOL 120,1L,Modern Biology II,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,69,120,Anna Andreeva,7E.529 -cap:95
BIOL 120L,1Lb,Modern Biology IILaboratory,1.0,2,14-AUG-23,24-NOV-23,F,03:00 PM-05:50 PM,15,20,Nurtilek Galimov,9.228 -cap:40
BIOL 120L,2Lb,Modern Biology IILaboratory,1.0,2,14-AUG-23,24-NOV-23,F,12:00 PM-02:50 PM,20,20,Nurtilek Galimov,9.228 -cap:40
BIOL 120L,3Lb,Modern Biology IILaboratory,1.0,2,14-AUG-23,24-NOV-23,F,12:00 PM-02:50 PM,18,20,AigerimSoltabayeva,7.407 -cap:20
BIOL 301,1L,Molecular Cell Biology,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,21,60,Ivan Vorobyev,7E.221 -cap:56
